Model,Best Training Accuracy,Best Validation Accuracy,Best Validation Loss
MobileNetV2,1.0,0.9827127456665039,0.04196009784936905
Custom CNN,0.875,0.8417553305625916,0.37492457032203674
ResNet50,0.5893479585647583,0.6130319237709045,0.6562193632125854
